playerID,yearID,stint,inMater,Name,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
dejonpa01,2020,1,1,Paul DeJong,26,STL,NL,162,426,374,43,91,15,0,8,58,3,0,41,120,0,3,0,8,10
goldspa01,2020,1,1,Paul Goldschmidt,32,STL,NL,162,566,475,74,137,30,0,15,53,3,0,83,112,0,3,0,3,10
smithpa04,2020,1,1,Pavin Smith,24,ARI,NL,162,108,92,16,24,1,2,3,10,2,0,12,21,0,0,0,4,0
severpe01,2020,1,1,Pedro Severino,26,BAL,AL,162,436,392,43,96,13,2,12,50,3,0,39,100,0,3,2,0,8
alonspe01,2020,1,1,Pete Alonso,25,NYM,NL,162,586,513,74,117,16,0,35,81,3,0,57,149,8,13,0,3,10
ervinph01,2020,1,1,Phil Ervin,27,TOT,MLB,162,218,185,24,30,8,0,1,12,2,0,31,54,0,2,0,0,5
gosseph01,2020,1,1,Phil Gosselin,31,PHI,NL,162,250,225,33,55,12,0,7,29,1,0,24,66,2,1,0,0,7
evansph01,2020,1,1,Phillip Evans,27,PIT,NL,162,110,96,14,32,5,0,3,20,0,2,12,19,0,2,0,0,2
deverra01,2020,1,1,Rafael Devers,23,BOS,AL,162,608,564,77,144,36,2,25,98,1,0,36,162,0,7,0,1,18
marchra01,2020,1,1,Rafael Marchan,21,PHI,NL,162,22,20,6,9,0,0,2,6,0,0,2,5,0,0,0,0,0
tapiara01,2020,1,1,Raimel Tapia,26,COL,NL,162,505,451,62,136,20,4,5,44,17,4,36,100,0,5,2,7,8
laurera01,2020,1,1,Ramon Laureano,25,OAK,AL,162,544,455,65,98,20,2,15,61,5,2,57,141,0,25,0,7,16
uriasra01,2020,1,1,Ramon Urias,26,BAL,AL,162,66,61,7,20,4,0,2,7,0,0,5,15,0,0,0,0,2
grichra01,2020,1,1,Randal Grichuk,28,TOR,AL,162,566,525,88,139,22,0,27,81,3,2,35,124,2,1,0,5,12
arozara01,2020,1,1,Randy Arozarena,25,TBR,AL,162,186,159,34,43,5,0,15,26,8,0,15,53,0,10,0,2,5
ravelra01,2020,1,1,Rangel Ravelo,28,STL,NL,162,100,86,12,16,3,0,3,14,0,0,10,17,0,0,0,4,0
mcguire01,2020,1,1,Reese McGuire,25,TOR,AL,162,110,100,6,10,1,0,3,4,0,0,2,27,0,0,8,0,2
nunezre01,2020,1,1,Renato Nunez,26,BAL,AL,162,529,477,69,119,24,0,27,72,1,0,42,153,0,7,0,3,10
