,GameID,Game.AwayTeamStartingPitcherID,Game.HomeTeamStartingPitcherID,Game.PointSpread,Game.OverUnder,Game.AwayTeamMoneyLine,Game.HomeTeamMoneyLine
5,50678.0,10005232.0,10000805.0,-1.5,7.0,142.0,-152.0
6,50675.0,10000335.0,10000569.0,1.5,7.5,-150.0,140.0
7,50684.0,10005848.0,10001303.0,-1.5,9.5,195.0,-215.0
8,50679.0,10001065.0,10000282.0,-1.5,7.5,119.0,-129.0
9,50685.0,10001157.0,10000371.0,1.5,9.0,-109.0,-101.0
10,50687.0,10002058.0,10001629.0,1.5,7.0,-127.0,117.0
11,50683.0,10001203.0,10000843.0,-1.5,8.0,107.0,-117.0
12,50686.0,10001335.0,10002091.0,-1.5,8.5,142.0,-152.0
0,50691.0,10000787.0,10001350.0,-1.5,7.0,141.0,-151.0
1,50688.0,10008561.0,10000421.0,-1.5,8.5,215.0,-235.0
2,50689.0,10001353.0,10000519.0,-1.5,9.0,115.0,-125.0
3,50695.0,10000364.0,10007081.0,1.5,7.5,-112.0,102.0
4,50693.0,10001072.0,10000746.0,1.5,8.0,-113.0,103.0
5,50692.0,10007391.0,10006571.0,-1.5,8.5,138.0,-148.0
6,50694.0,10001253.0,10006438.0,-1.5,9.0,147.0,-157.0
7,50697.0,10000020.0,10001162.0,-1.5,7.5,110.0,-120.0
8,50698.0,10000193.0,10006824.0,1.5,9.0,-108.0,-102.0
9,50690.0,10001017.0,10000850.0,-1.5,8.5,235.0,-255.0
10,50696.0,10000276.0,10005587.0,-1.5,8.0,136.0,-146.0
0,50700.0,10000506.0,10000330.0,-1.5,7.5,208.0,-228.0
1,50704.0,10000622.0,10005351.0,-1.5,9.5,145.0,-155.0
2,50702.0,10001290.0,10001202.0,1.5,10.0,-123.0,113.0
3,50707.0,10003550.0,10003360.0,-1.5,8.5,250.0,-275.0
4,50703.0,,,1.5,8.0,-153.0,143.0
5,50706.0,10003212.0,10007274.0,1.5,8.5,-135.0,125.0
6,50701.0,10000101.0,10000848.0,-1.5,9.0,161.0,-171.0
7,50699.0,10006012.0,10005334.0,-1.5,9.0,124.0,-134.0
8,50705.0,10007245.0,10002066.0,1.5,8.0,-120.0,110.0
0,50714.0,10003259.0,10001337.0,-1.5,8.0,146.0,-156.0
1,50708.0,10005313.0,10000153.0,-1.5,9.0,159.0,-169.0
2,50710.0,10005327.0,10005879.0,-1.5,8.0,110.0,-120.0
3,50711.0,10001025.0,10000328.0,-1.5,7.5,215.0,-235.0
4,50718.0,10000613.0,10001161.0,-1.5,7.5,-105.0,-105.0
5,50721.0,10001234.0,10005250.0,1.5,9.0,-140.0,130.0
6,50712.0,10000113.0,10000886.0,-1.5,9.5,200.0,-220.0
7,50717.0,10000291.0,10001993.0,-1.5,8.0,147.0,-157.0
8,50713.0,10001305.0,10000060.0,1.5,8.5,-130.0,120.0
9,50722.0,10000842.0,10000970.0,-1.5,8.5,260.0,-290.0
10,50716.0,10000425.0,10000367.0,-1.5,11.0,135.0,-145.0
11,50715.0,10000839.0,10001986.0,1.5,8.0,-125.0,115.0
12,50709.0,10005337.0,10001755.0,1.5,8.5,105.0,-115.0
13,50720.0,10005294.0,10006172.0,-1.5,7.5,119.0,-129.0
14,50719.0,10007434.0,10003322.0,-1.5,8.5,155.0,-165.0
0,50723.0,10007361.0,10000155.0,-1.5,8.0,183.0,-195.0
1,50725.0,10000694.0,10006183.0,-1.5,8.0,158.0,-168.0
