idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,CG,SHO,IP,H,ER,HR,BB,SO,SO%,BB%,R
19754,665665,Reiver Sanmartin,2022,CIN,29,4.4,1.32,9,6,0.6,11,11,0,0,93,89,45,15,34,84,21.00%,8.20%,50
10836,592879,Asher Wojciechowski,2022,FA,34,5.14,1.41,3,5,0.38,10,10,0,0,70,71,40,14,28,65,21.00%,8.90%,44
4772,433587,Felix Hernandez,2022,FA,36,4.8,1.38,3,4,0.43,8,8,0,0,60,60,32,10,23,55,21.00%,8.60%,35
15821,642607,Dario Agrazal,2022,FA,28,4.34,1.29,3,3,0.5,7,7,0,0,58,55,28,9,20,52,20.90%,7.90%,31
22713,672578,Carlos Hernandez,2022,KCR,29,4.24,1.3,6,5,0.55,24,24,0,0,145,128,68,13,61,129,20.70%,8.90%,75
6895,502624,Chase Anderson,2022,FA,35,5.4,1.42,4,5,0.44,13,13,0,0,85,89,51,16,32,78,20.70%,8.40%,56
3543,453329,Clay Buchholz,2022,FA,38,4.8,1.37,3,4,0.43,8,8,0,0,60,60,32,9,22,54,20.70%,8.30%,35
19871,656353,Tucker Davidson,2022,ATL,29,4.4,1.34,2,2,0.5,13,13,0,0,95,87,46,5,40,85,20.60%,9.60%,51
15291,643230,Steven Brault,2022,FA,30,4.44,1.36,3,5,0.38,24,24,1,0,141,130,70,9,62,126,20.50%,9.90%,77
19206,641712,Dakota Hudson,2022,STL,28,4.08,1.25,8,5,0.62,24,24,0,0,140,119,63,13,56,122,20.50%,9.20%,69
12730,607259,Nick Martinez,2022,SDP,32,4.2,1.29,4,4,0.5,22,22,0,0,125,115,58,10,46,110,20.50%,8.50%,64
17969,663567,Peter Lambert,2022,COL,25,5.14,1.43,2,2,0.5,16,16,0,0,91,95,52,5,35,83,20.50%,8.30%,57
2717,519144,Rick Porcello,2022,FA,34,5.11,1.42,4,6,0.4,12,12,0,0,74,81,42,10,24,67,20.50%,7.30%,46
5524,518516,Madison Bumgarner,2022,ARI,33,4.42,1.26,8,11,0.42,28,28,1,0,161,155,79,30,48,140,20.40%,6.80%,87
8753,543699,Tanner Roark,2022,FA,36,5.12,1.49,4,5,0.44,12,12,0,0,72,78,41,14,29,66,20.40%,8.80%,45
10123,502043,Kyle Gibson,2022,PHI,35,4.25,1.31,9,10,0.47,30,30,1,1,172,161,81,23,64,150,20.30%,8.70%,89
11156,518876,Merrill Kelly,2022,ARI,34,4.25,1.29,9,11,0.45,28,28,0,0,160,159,76,23,47,139,20.30%,6.80%,84
6893,456501,Johnny Cueto,2022,FA,36,4.6,1.38,7,8,0.47,21,21,0,0,131,134,67,18,47,117,20.30%,8.10%,74
11490,592717,Aaron Sanchez,2022,FA,30,4.38,1.38,3,5,0.38,11,11,0,0,74,71,36,9,31,66,20.30%,9.40%,40
7593,543475,Jordan Lyles,2022,BAL,32,4.75,1.35,9,13,0.41,30,30,0,0,165,165,87,33,58,145,20.20%,8.10%,96
2233,425794,Adam Wainwright,2022,STL,41,3.67,1.21,14,9,0.61,30,30,2,0,189,172,77,24,57,160,20.10%,7.10%,85
6797,527054,Julio Teheran,2022,FA,31,5.27,1.41,4,5,0.44,12,12,0,0,70,68,41,13,31,62,20.10%,9.90%,45
15467,594835,Marco Gonzales,2022,SEA,30,3.88,1.21,12,8,0.6,28,28,1,0,160,149,69,25,45,135,20.00%,6.50%,76
9784,572070,Garrett Richards,2022,TEX,34,4.6,1.45,5,6,0.45,18,18,0,0,129,134,66,14,53,115,20.00%,9.00%,73
19278,661269,Vladimir Gutierrez,2022,CIN,29,4.5,1.36,10,8,0.56,18,18,0,0,110,107,55,22,43,96,20.00%,8.90%,61
18510,642028,Josh Rogers,2022,WSN,29,4.67,1.35,4,4,0.5,13,13,0,0,105,100,54,12,42,91,20.00%,8.70%,59
1943,425844,Zack Greinke,2022,KCR,39,4.08,1.2,11,8,0.58,25,25,0,0,150,144,68,25,36,125,19.90%,5.60%,75
9803,571945,Miles Mikolas,2022,STL,34,4.24,1.24,7,9,0.44,24,24,0,0,140,135,66,19,39,118,19.80%,6.70%,73
15734,641745,Brad Keller,2022,KCR,27,4.28,1.34,10,12,0.45,26,26,1,1,145,137,69,18,57,123,19.60%,9.20%,76
16256,607536,Kyle Freeland,2022,COL,29,4.28,1.37,7,10,0.41,29,29,0,0,161,166,77,25,55,137,19.50%,7.80%,85
12718,605288,Adrian Houser,2022,MIL,29,4.4,1.35,8,9,0.47,21,21,0,0,131,123,64,16,54,111,19.50%,9.10%,70
19990,669060,Bryse Wilson,2022,PIT,25,4.63,1.38,6,8,0.43,19,19,0,0,115,117,59,18,42,98,19.50%,8.10%,65
4776,533167,Matt Shoemaker,2022,FA,36,5.5,1.39,4,7,0.36,13,13,0,0,90,89,55,18,36,77,19.50%,9.00%,61
13183,605200,Zach Davies,2022,ARI,29,4.44,1.37,9,10,0.47,26,26,0,0,150,145,74,21,61,127,19.40%,9.10%,81
