idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,CG,SHO,IP,H,ER,HR,BB,SO,SO%,BB%,R
19959,666200,Jesus Luzardo,2022,MIA,25,4.3,1.29,7,7,0.5,26,26,0,0,142,131,68,19,52,143,23.40%,8.70%,75
11762,592789,Noah Syndergaard,2022,LAA,30,4.03,1.28,7,7,0.5,24,24,0,0,140,135,63,16,44,140,23.40%,7.50%,69
11760,592767,Drew Smyly,2022,CHC,33,4.61,1.37,7,6,0.54,19,19,0,0,123,123,63,22,46,126,23.40%,8.50%,69
21318,656731,Tylor Megill,2022,NYM,29,4.35,1.3,3,3,0.5,25,25,0,0,140,134,68,9,48,140,23.30%,7.80%,75
17578,664141,Jonathan Brubaker,2022,PIT,29,4.32,1.26,7,13,0.35,29,29,0,0,168,156,81,27,56,166,23.20%,7.90%,89
12917,605164,Dylan Bundy,2022,MIN,30,4.64,1.28,7,10,0.41,27,27,1,0,157,145,81,21,56,156,23.20%,8.10%,89
16918,596133,Luke Weaver,2022,ARI,29,4.4,1.31,6,13,0.32,23,23,0,0,130,127,64,20,43,130,23.20%,7.10%,70
19316,641778,Eric Lauer,2022,MIL,27,4.05,1.23,6,7,0.46,28,28,0,0,162,142,73,16,57,158,23.10%,8.50%,80
16933,622694,Elieser Hernandez,2022,MIA,27,4.25,1.28,5,6,0.45,19,19,0,0,114,109,54,21,37,113,23.10%,7.30%,59
25377,663903,Brady Singer,2022,KCR,26,4.25,1.27,8,10,0.44,27,27,1,0,159,145,75,18,57,156,23.00%,8.60%,83
15440,571510,Matthew Boyd,2022,SFG,31,4.42,1.31,3,5,0.38,16,16,0,0,90,88,44,10,30,89,23.00%,7.60%,48
17553,621058,Andrew Moore,2022,FA,28,4.35,1.3,3,3,0.5,7,7,0,0,60,56,29,8,22,59,22.90%,8.40%,32
15038,608566,German Marquez,2022,COL,27,4.1,1.25,11,11,0.5,31,31,1,1,185,170,84,22,61,179,22.80%,7.70%,92
17295,664285,Framber Valdez,2022,HOU,29,3.83,1.22,12,9,0.57,30,30,1,0,178,152,76,17,65,171,22.80%,8.80%,84
19409,641540,Dane Dunning,2022,TEX,28,4.33,1.33,7,9,0.44,28,28,0,0,162,155,78,17,60,160,22.80%,8.60%,86
16561,596295,Austin Gomber,2022,COL,29,4.1,1.26,8,8,0.5,25,25,0,0,140,122,64,18,54,136,22.80%,8.90%,70
19268,643290,Justin Dunn,2022,CIN,27,4.17,1.25,3,2,0.6,19,19,0,0,108,82,50,7,53,105,22.80%,9.80%,55
23252,675921,Spencer Howard,2022,TEX,26,5.33,1.42,2,3,0.4,19,19,0,0,103,103,61,6,43,104,22.80%,9.30%,67
12304,605135,Chris Bassitt,2022,NYM,33,3.65,1.18,11,6,0.65,30,30,0,0,179,156,73,18,55,170,22.70%,7.20%,80
14843,547179,Michael Lorenzen,2022,LAA,30,4.4,1.33,5,5,0.5,21,21,0,0,120,110,59,11,50,118,22.60%,9.40%,65
